stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,route_type,station_type
806,908990,FIVE POINTS STATION,30 ALABAMA ST SW & BROAD ST SW,33.754123,-84.391876,,,,,,1.0,1,Subway
807,908694,GWCC-CNN CENTER STATION,100 CENTENNIAL OLYMPIC PARK DR NW & PHILIPS DR NW,33.756187,-84.397291,,,,,,1.0,1,Subway
808,908695,AIRPORT STATION,6000 S TERMINAL PKY & UNNAMED ST,33.640831,-84.446198,,,,,,1.0,1,Subway
809,908599,COLLEGE PARK STATION,3800 E MAIN ST & UNNAMED ST,33.650577,-84.448656,,,,,,1.0,1,Subway
810,908600,GARNETT STATION,225 PEACHTREE ST SW & GARNETT ST SW,33.748938,-84.395545,,,,,,1.0,1,Subway
811,908986,FIVE POINTS STATION,30 ALABAMA ST SW & UPPER ALABAMA ST SW,33.754052,-84.391452,,,,,,1.0,1,Subway
812,908601,PEACHTREE CENTER STATION,216 PEACHTREE ST NE & ELLIS ST NW,33.758189,-84.387596,,,,,,1.0,1,Subway
814,908603,CHAMBLEE STATION,5200 NEW PEACHTREE RD & LENOX RD NE,33.887929,-84.305556,,,,,,1.0,1,Subway
815,908604,CHAMBLEE STATION,5200 NEW PEACHTREE RD & LENOX RD NE,33.887517,-84.306362,,,,,,1.0,1,Subway
817,907842,PEACHTREE CENTER STATION,216 PEACHTREE ST NE & ELLIS ST NE,33.758082,-84.387595,,,,,,1.0,1,Subway
818,908976,FIVE POINTS STATION,30 ALABAMA ST SW & UPPER ALABAMA ST SW,33.753899,-84.39156,,,,,,1.0,1,Subway
819,907843,GARNETT STATION,225 PEACHTREE ST SW & GARNETT ST SW,33.748696,-84.395741,,,,,,1.0,1,Subway
820,907844,COLLEGE PARK STATION,3800 E MAIN ST & UNNAMED ST,33.650282,-84.448612,,,,,,1.0,1,Subway
821,906647,AIRPORT STATION,6000 S TERMINAL PKY & UNNAMED ST,33.640553,-84.446198,,,,,,1.0,1,Subway
822,907845,SANDY SPRINGS STATION,1101 MT VERNON HWY NE & UNNAMED ST,33.931671,-84.351069,,,,,,1.0,1,Subway
823,907846,SANDY SPRINGS STATION,1101 MT VERNON HWY NE & UNNAMED ST,33.931564,-84.35096,,,,,,1.0,1,Subway
1118,906837,AIRPORT STATION,6000 S TERMINAL PKY & UNNAMED ST,33.640294,-84.446197,,,,,,1.0,1,Subway
999544,907766,NORTH SPRINGS STATION,7010 PEACHTREE DUNWOODY RD & PERIMETER CTR W,33.94495,-84.357275,,,,,,1.0,1,Subway
999549,907775,LINDBERGH CENTER STATION,2424 PIEDMONT RD NE & METRO ATLANTA RAPID TRANSIT ATHRTY,33.823501,-84.369313,,,,,,1.0,1,Subway
999690,907823,LINDBERGH CENTER STATION,2424 PIEDMONT RD NE & METRO ATLANTA RAPID TRANSIT ATHRTY,33.823447,-84.369324,,,,,,1.0,1,Subway
